name start duration label
interaction-1.mkv 28 4 call_people
interaction-1.mkv 31 4 bow
interaction-1.mkv 45 4 point
interaction-1.mkv 75 4 hand_paper
interaction-1.mkv 95 4 leave
interaction-1.mkv 29 4 approach
interaction-1.mkv 116 4 approach
interaction-1.mkv 114 4 call_people
interaction-1.mkv 150 4 hand_paper
interaction-1.mkv 159 4 leave
interaction-1.mkv 173 4 call_people
interaction-1.mkv 176 4 approach
interaction-1.mkv 213 4 nod
interaction-1.mkv 220 4 hand_paper
interaction-1.mkv 226 4 leave
interaction-1.mkv 241 4 approach
interaction-1.mkv 252 4 nod
interaction-1.mkv 268 4 point
interaction-1.mkv 275 4 hand_paper
interaction-1.mkv 281 4 leave
interaction-1.mkv 305 4 call_people
interaction-1.mkv 321 4 point
interaction-1.mkv 356 4 hand_paper
interaction-1.mkv 366 4 bow
interaction-1.mkv 371 4 leave
interaction-1.mkv 388 4 call_people
interaction-1.mkv 389 4 approach
interaction-1.mkv 425 4 hand_paper
interaction-1.mkv 457 4 call_people
interaction-1.mkv 459 4 approach
interaction-1.mkv 464 4 hand_paper
interaction-1.mkv 466 4 leave
interaction-3.mkv 4 4 approach
interaction-3.mkv 53 4 bow
interaction-3.mkv 57 4 leave
interaction-3.mkv 72 4 approach
interaction-3.mkv 128 4 bow
interaction-3.mkv 131 4 leave
interaction-3.mkv 150 4 approach
interaction-3.mkv 206 4 leave
interaction-3.mkv 269 4 approach
interaction-3.mkv 295 4 bow
interaction-3.mkv 302 4 leave
interaction-3.mkv 338 4 approach
interaction-3.mkv 379 4 leave
interaction-3.mkv 415 4 approach
interaction-3.mkv 483 4 bow
interaction-3.mkv 519 4 approach
interaction-4.mkv 29 4 approach
interaction-4.mkv 51 4 hand_paper
interaction-4.mkv 73 4 approach
interaction-4.mkv 78 4 point
interaction-4.mkv 98 4 hand_paper
interaction-4.mkv 101 4 leave
interaction-4.mkv 117 4 approach
interaction-4.mkv 136 4 point
interaction-4.mkv 142 4 hand_paper
interaction-4.mkv 167 4 approach
interaction-4.mkv 173 4 point
interaction-4.mkv 189 4 hand_paper
interaction-4.mkv 213 4 approach
interaction-4.mkv 224 4 point
interaction-4.mkv 242 4 hand_paper
interaction-4.mkv 246 4 leave
interaction-4.mkv 260 4 approach
interaction-4.mkv 288 4 hand_paper
interaction-4.mkv 290 4 leave
interaction-4.mkv 659 4 approach
interaction-4.mkv 713 4 leave
interaction-5.mkv 18 4 approach
interaction-5.mkv 69 4 leave
interaction-5.mkv 68 4 bow
interaction-5.mkv 87 4 approach
interaction-5.mkv 140 4 leave
interaction-5.mkv 168 4 approach
interaction-5.mkv 215 4 leave
interaction-5.mkv 241 4 approach
interaction-5.mkv 307 4 leave
interaction-6.mkv 19 4 approach
interaction-6.mkv 70 4 leave
interaction-6.mkv 95 4 approach
interaction-6.mkv 103 4 point
interaction-6.mkv 127 4 leave
interaction-6.mkv 142 4 approach
interaction-6.mkv 225 4 approach
interaction-6.mkv 235 4 point
interaction-6.mkv 268 4 leave
interaction-6.mkv 291 4 approach
interaction-6.mkv 347 4 leave
interaction-6.mkv 370 4 approach
interaction-6.mkv 380 4 point
interaction-6.mkv 415 4 leave
interaction-6.mkv 434 4 approach
interaction-6.mkv 442 4 point
interaction-6.mkv 546 4 approach
interaction-6.mkv 583 4 bow
interaction-6.mkv 587 4 leave
interaction-6.mkv 606 4 approach
interaction-6.mkv 682 4 leave
interaction-6.mkv 696 4 approach
interaction-6.mkv 803 4 leave
interaction-6.mkv 823 4 approach
interaction-6.mkv 891 4 leave
interaction-6.mkv 911 4 approach
interaction-6.mkv 1103 4 leave
interaction-6.mkv 1128 4 approach
interaction-6.mkv 1199 4 nod
interaction-6.mkv 1206 4 leave
interaction-6.mkv 1225 4 approach
interaction-6.mkv 1301 4 point
interaction-6.mkv 1303 4 leave
interaction-7.mkv 5 4 approach
interaction-7.mkv 7 4 point
interaction-7.mkv 20 4 point
interaction-7.mkv 26 4 hand_paper
interaction-7.mkv 30 4 leave
interaction-7.mkv 45 4 call_people
interaction-7.mkv 47 4 approach
interaction-7.mkv 55 4 nod
interaction-7.mkv 57 4 point
interaction-7.mkv 90 4 call_people
interaction-7.mkv 91 4 approach
interaction-7.mkv 102 4 point
interaction-7.mkv 116 4 hand_paper
interaction-7.mkv 139 4 approach
interaction-7.mkv 164 4 hand_paper
interaction-7.mkv 169 4 leave
interaction-7.mkv 253 4 approach
interaction-7.mkv 348 4 leave
interaction-7.mkv 368 4 approach
interaction-7.mkv 372 4 point
interaction-7.mkv 411 4 leave
interaction-7.mkv 428 4 approach
interaction-7.mkv 500 4 leave
interaction-7.mkv 519 4 approach
interaction-7.mkv 587 4 wave_hand
interaction-7.mkv 590 4 leave
interaction-8.mkv 22 4 approach
interaction-8.mkv 28 4 hand_paper
interaction-8.mkv 38 4 leave
interaction-8.mkv 57 4 approach
interaction-8.mkv 60 4 hand_paper
interaction-8.mkv 64 4 leave
interaction-8.mkv 93 4 approach
interaction-8.mkv 101 4 leave
interaction-8.mkv 189 4 approach
interaction-8.mkv 229 4 leave
interaction-8.mkv 242 4 approach
interaction-8.mkv 281 4 leave
interaction-8.mkv 348 4 approach
interaction-8.mkv 362 4 point
